Size,Lagrange_interpolation,Newton_polynomial,Newton_Interpolation,package_Polynomial,package_interpolation
10,0.3331056,0.0061618,0.0469526,0.0048402,0.0114429
10,0.4847707,0.0026629,0.0246156,0.0042583,0.0110948
10,0.2657533,0.0017413,0.0251654,0.0041519,0.0112422
10,0.2686716,0.0017044,0.0227659,0.0041313,0.0114183
10,0.2726776,0.0017016,0.0256129,0.0051522,0.0119301
10,0.2726148,0.0018943,0.0255713,0.0042255,0.0126258
10,0.28693,0.0024691,0.0256457,0.0041345,0.0130901
10,0.282495,0.0017201,0.0256563,0.0057775,0.0118784
10,0.2920983,0.0017297,0.0262366,0.0048476,0.0117658
10,0.2644896,0.001702,0.0241422,0.0042695,0.011115
13,0.4497963,0.0037119,0.032101,0.0066909,0.0143115
13,0.4505799,0.0038138,0.0314317,0.0061401,0.0136621
13,0.4490932,0.0033537,0.031223,0.0066857,0.0147504
13,0.4566693,0.0026832,0.0321376,0.0070374,0.014557
13,0.460212,0.0037808,0.0312621,0.0066298,0.0139828
13,0.4470323,0.0028202,0.0315698,0.0072006,0.0130674
13,0.4516273,0.0026827,0.0329842,0.0065838,0.0145611
13,0.4765718,0.0037113,0.0337112,0.0068161,0.0134501
13,0.4590917,0.002737,0.032647,0.007333,0.0146816
13,0.4539485,0.0043601,0.0313594,0.0065011,0.0143614
16,0.6608252,0.0043238,0.0395676,0.0096976,0.0152946
16,0.6505501,0.004019,0.0393433,0.0090893,0.0166666
16,0.6291771,0.0039204,0.0388945,0.0094329,0.0170995
16,0.6561112,0.0052858,0.039514,0.0096459,0.0164044
16,0.6517845,0.004839,0.0371014,0.0100142,0.0172571
16,0.6641636,0.0045654,0.0398605,0.0107844,0.0154999
16,0.6688468,0.0038596,0.0430321,0.0095826,0.0157503
16,0.6539535,0.0041086,0.0361155,0.0089518,0.0165742
16,0.6423776,0.0038806,0.0366664,0.008986,0.0144523
16,0.6809027,0.0038978,0.0395874,0.0094682,0.0179758
19,0.9047169,0.0058259,0.0438579,0.0126253,0.0212841
19,0.9195986,0.0053358,0.0460417,0.0125745,0.0172392
19,0.948972,0.006079,0.0485768,0.0146871,0.0173648
19,0.8790426,0.0065822,0.0438725,0.0123731,0.0187377
19,0.9301252,0.0054336,0.0469176,0.0148675,0.0189346
19,0.9359409,0.0065354,0.0421068,0.0117779,0.0164549
19,0.8871871,0.00651,0.0438995,0.012204,0.0174047
19,0.8515179,0.0056643,0.0420326,0.0124607,0.0184118
19,0.8896877,0.0064097,0.0448606,0.0129606,0.0207086
19,0.8884471,0.010896,0.0443158,0.0124618,0.0179601
22,1.1891442,0.0074617,0.0536885,0.01646,0.0189884
22,1.2033358,0.0079633,0.0524039,0.017124,0.0196739
