Size,naive_multiplication,better_multiplication,BLAS
50,0.0003115,0.0005563,0.0000546
50,0.0001,0.0001108,5.46E-05
50,8.64E-05,0.000111,4.85E-05
50,8.57E-05,0.0001107,4.70E-05
50,0.0001187,0.0001435,8.54E-05
50,0.0001298,0.000182,8.93E-05
50,0.0001246,0.0002762,0.0001151
50,0.0001406,0.0001211,6.70E-05
50,9.16E-05,0.0001146,5.14E-05
50,9.40E-05,0.0001195,5.55E-05
100,0.0007876,0.0008354,0.0003287
100,0.000777,0.0008278,0.0003222
100,0.00081,0.0008425,0.0004164
100,0.0008988,0.0008594,0.000325
100,0.0008523,0.0008482,0.0003276
100,0.0008672,0.0008416,0.0003266
100,0.0008669,0.0008965,0.0011834
100,0.0008228,0.0008458,0.0003596
100,0.0008064,0.0008374,0.0003197
100,0.0008321,0.0008512,0.0003216
150,0.0031103,0.002778,0.0010882
150,0.028503,0.0027591,0.0010408
150,0.0029941,0.0030306,0.0011343
150,0.0026567,0.0034874,0.0011798
150,0.0027025,0.0030967,0.0011128
150,0.0027231,0.0030158,0.0012735
150,0.0026532,0.0027404,0.001165
150,0.0028037,0.0028377,0.0011808
150,0.0029017,0.0027974,0.0010795
150,0.0029641,0.0029634,0.0010878
200,0.0080769,0.0072975,0.0034691
200,0.0073761,0.0078091,0.0027145
200,0.0065379,0.0069504,0.0034249
200,0.0066871,0.0069705,0.0030205
200,0.0067628,0.0065859,0.0027599
200,0.0074453,0.0064389,0.003061
200,0.0070212,0.0064165,0.0030263
200,0.0069502,0.0065459,0.0025507
200,0.0072864,0.0068396,0.0028877
200,0.0067197,0.0065822,0.0025972
250,0.013525,0.0168113,0.0052794
250,0.0139448,0.0134849,0.0049401
250,0.0141319,0.0135676,0.0052984
250,0.0134993,0.0145622,0.0047085
250,0.0140503,0.013903,0.0046439
250,0.0135352,0.0137722,0.0046984
250,0.0142119,0.0140301,0.0045901
250,0.0136716,0.0133647,0.0045817
250,0.0130095,0.0130405,0.0048694
250,0.0143546,0.0132829,0.0049507
300,0.0236664,0.0233757,0.008477
300,0.025239,0.0234964,0.0089677
300,0.0242554,0.0224534,0.0091579
300,0.0244792,0.0236219,0.009417
300,0.0245484,0.0243709,0.0097593
300,0.0233266,0.0236311,0.0093193
300,0.0234484,0.0230073,0.0097419
300,0.0241864,0.0245212,0.0110517
300,0.0301641,0.0276558,0.0099511
300,0.0278354,0.0220929,0.0081426
350,0.0391782,0.0358297,0.0140006
350,0.0392144,0.0359253,0.0139452
350,0.0381341,0.0368607,0.0142303
350,0.0381846,0.0370634,0.0137879
350,0.0376043,0.0371862,0.0132539
350,0.0384512,0.0370259,0.0141436
350,0.0387933,0.0370345,0.014633
350,0.0387526,0.036962,0.0135814
350,0.0387521,0.0370991,0.0145685
350,0.0411576,0.0376232,0.0132806
400,0.0631811,0.0558306,0.0211423
400,0.0593796,0.0540144,0.0206394
400,0.0599391,0.0534541,0.0216109
400,0.0578154,0.0568869,0.020194
400,0.0609327,0.053123,0.0212792
400,0.0574162,0.0535739,0.0212718
400,0.0588504,0.1174479,0.0205506
400,0.0578225,0.0601183,0.019932
400,0.0563404,0.0516312,0.0232759
400,0.0596711,0.0541801,0.0201659
450,0.086483,0.0748187,0.0276244
450,0.0824884,0.0800122,0.0340993
450,0.0802091,0.0745339,0.0351734
450,0.086636,0.0796983,0.0359892
450,0.0893895,0.0785595,0.0291616
450,0.0859159,0.0779437,0.0300197
450,0.0838571,0.0757444,0.0299042
450,0.084216,0.0781644,0.0285297
450,0.0844038,0.0801879,0.0350566
450,0.0836488,0.0798732,0.0301069
500,0.116273,0.1054616,0.0407577
500,0.1176794,0.1055036,0.0389773
500,0.114879,0.1082915,0.0418355
500,0.1227435,0.1091707,0.0426043
500,0.1241161,0.1066695,0.0435674
500,0.1171251,0.1036864,0.0419758
500,0.1174247,0.1100799,0.0411746
500,0.1278479,0.1150662,0.0376392
500,0.1124668,0.1080762,0.0422725
500,0.1166841,0.1118049,0.0399531
